frame,vehicle_count
0,24
1,23
2,20
3,22
4,22
5,20
6,20
7,20
8,21
9,21
10,22
11,23
12,21
13,21
14,22
15,21
16,22
17,21
18,21
19,20
20,19
21,20
22,20
23,19
24,20
25,21
26,21
27,20
28,22
29,20
30,22
31,20
32,21
33,20
34,20
35,21
36,24
37,21
38,21
39,21
40,20
41,21
42,22
43,20
44,20
45,20
46,20
47,20
48,20
49,20
50,20
51,22
52,21
53,23
54,23
55,22
56,21
57,21
58,22
59,20
60,20
61,21
62,20
63,19
64,19
65,19
66,21
67,21
68,22
69,20
70,19
71,18
72,18
73,18
74,18
75,19
76,19
77,21
78,21
79,20
80,20
81,20
82,18
83,20
84,20
85,20
86,21
87,21
88,20
89,21
90,21
91,21
92,20
93,20
94,20
95,19
96,20
97,20
98,21
99,21
100,22
101,21
102,21
103,21
104,21
105,23
106,22
107,21
108,21
109,20
110,20
111,21
112,23
113,22
114,22
115,21
116,21
117,21
118,21
119,20
120,22
121,22
122,23
123,22
124,21
125,22
126,23
127,24
128,24
129,23
130,24
131,22
132,22
133,21
134,21
135,22
136,23
137,21
138,19
139,20
140,19
141,20
142,21
143,22
144,20
145,22
146,21
147,21
148,22
149,20
150,23
151,23
152,23
153,21
154,22
155,20
156,21
157,21
158,20
159,22
160,20
161,21
162,22
163,18
164,20
165,22
166,21
167,19
168,19
169,19
170,19
171,19
172,19
173,20
174,22
175,20
176,19
177,19
178,21
179,19
180,20
181,21
182,22
183,19
184,19
185,19
186,19
187,21
188,20
189,21
190,20
191,22
192,20
193,19
194,20
195,22
196,23
197,21
198,22
199,20
200,22
201,21
202,20
203,22
204,23
205,22
206,21
207,22
208,20
209,21
210,19
211,21
212,20
213,19
214,20
215,20
216,20
217,21
218,20
219,21
220,21
221,21
222,21
223,22
224,22
225,24
226,23
227,23
228,23
229,22
230,22
231,23
232,24
233,22
234,24
235,21
236,19
237,20
238,22
239,24
240,21
241,21
242,22
243,20
244,23
245,23
246,22
247,22
248,22
249,23
250,22
251,23
252,23
253,22
254,25
255,25
256,25
257,26
258,24
259,24
260,24
261,24
262,22
263,22
264,23
265,23
266,23
267,24
268,22
269,22
270,23
271,22
272,21
273,22
274,21
275,21
276,21
277,22
278,23
279,23
280,23
281,24
282,21
283,23
284,23
285,23
286,23
287,22
288,22
289,24
290,23
291,23
292,23
293,23
294,24
295,24
296,24
297,24
298,23
299,23
300,24
301,22
302,22
303,23
304,23
305,23
306,23
307,23
308,23
309,21
310,21
311,23
312,22
313,22
314,23
315,22
316,25
317,24
318,24
319,22
320,22
321,23
322,24
323,23
324,22
325,21
326,20
327,24
328,23
329,21
330,22
331,23
332,24
333,24
334,23
335,23
336,22
337,22
338,22
339,22
340,22
341,21
342,22
343,22
344,23
345,22
346,21
347,20
348,20
349,21
350,22
351,22
352,22
353,21
354,20
355,23
356,23
357,23
358,23
359,22
360,24
361,24
